case,nit_noP,nit_P,adj_nit_noP,adj_nit_P
bfwa398,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
bfwa62,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
bfwa782,solution xᶜ good enough given atol and rtol,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
bwm200,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
bwm2000,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
cdde1,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
cdde2,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
cdde3,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
cdde4,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
cdde5,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
cdde6,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
ck104,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
ck400,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
ck656,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dw1024,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dw256A,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dw256B,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
dw4096,maximum number of iterations exceeded,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
lop163,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
mhda416,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
odepa400,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
olm100,maximum number of iterations exceeded,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
olm1000,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
olm2000,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
olm500,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
olm5000,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
pde225,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
pde2961,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
pde900,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
qh882,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
rbsa480,maximum number of iterations exceeded,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rbsb480,maximum number of iterations exceeded,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb2048,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb5000,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rdb968,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
rw136,solution xᶜ good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
rw496,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded,maximum number of iterations exceeded
rw5151,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
tub100,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
tub1000,maximum number of iterations exceeded,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,solution xᶜ good enough given atol and rtol
cryg10000,maximum number of iterations exceeded,maximum number of iterations exceeded,solution xᶜ good enough given atol and rtol,maximum number of iterations exceeded
