case,nit_noP,nit_P,adj_nit_noP,adj_nit_P
bfwa398,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
bfwa62,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
bfwa782,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
bwm200,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
bwm2000,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
cdde1,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
cdde2,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
cdde3,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
cdde4,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
cdde5,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
cdde6,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
ck104,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
ck400,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
ck656,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
dw1024,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
dw256A,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
dw256B,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
dw4096,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
lop163,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
mhda416,found approximate least-squares solution,found approximate least-squares solution,maximum number of iterations exceeded,maximum number of iterations exceeded
odepa400,solution good enough given atol and rtol,solution good enough given atol and rtol,unknown,unknown
olm100,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
olm1000,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
olm2000,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
olm500,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
olm5000,maximum number of iterations exceeded,maximum number of iterations exceeded,solution good enough given atol and rtol,solution good enough given atol and rtol
pde225,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
pde2961,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
pde900,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
qh882,solution good enough given atol and rtol,solution good enough given atol and rtol,maximum number of iterations exceeded,maximum number of iterations exceeded
rbsa480,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rbsb480,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb2048,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
rdb5000,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol,solution good enough given atol and rtol
